,ObjectID,GlobalID,consent,genero,bairro,bairro_outro,is_fisher,arte,arte_outra,arte_princip,familia_pesc,switch,familia_groupos,familia_artes_count,prod,prod_outra,prod_count,prod_list,prod_ordered,CreationDate,Creator,EditDate,Editor,Apontamentos,ccp,x,y,gleaner,fisher
241,242,0a9ac8f3-ee57-450a-94f1-544cafb3a808,sim,mulher,nhamua,,sim,rec,,rec,sim,,meninas,7,"50_dzindrolo,60_matewo,61_mapalo_mavalo,63_nhamunhe,dzinzanz",,56,"50_dzindrolo,60_matewo,61_mapalo_mavalo,63_nhamunhe,3_salani,2_mavionho,7_carapo_tara",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,gueva dzindzanz,nhamua,35.4939457,-23.81686575,yes,no
242,243,e274d2b9-a43c-47cf-a7fa-1e270abb16e6,sim,mulher,conguiana,,sim,rec,,rec,sim,,homens_adultos,14,"60_matewo,50_dzindrolo,dzinzanz",,47,"60_matewo,50_dzindrolo,3_salani,5_dzipata,1_mihili,28_nharongue","50_dzindrolo,3_salani,5_dzipata,1_mihili,28_nharongue,60_matewo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.49329434,-23.81656858,yes,no
243,244,1dc64fc6-b649-4a8a-8d78-e5ef04453971,sim,homen,conguiana,,sim,"rec,tarrafa,mergulho",,"mergulho,tarrafa,rec",sim,,"mulheres_adultos,meninos,meninas",3,"50_dzindrolo,61_mapalo_mavalo,60_matewo,66_mahoma_sikuilivita,73_nhatogue,63_nhamunhe,55_gudua,56_mavandzi",,8,"50_dzindrolo,61_mapalo_mavalo,60_matewo,66_mahoma_sikuilivita,73_nhatogue,63_nhamunhe,55_gudua,56_mavandzi","50_dzindrolo,55_gudua,66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,56_mavandzi,63_nhamunhe,73_nhatogue",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.4936543399988,-23.8171137399992,no,yes
244,245,a8ee0918-c980-491d-b4cd-2d36afd2e006,sim,mulher,conguiana,,sim,rec,,rec,nao,,,0,"50_dzindrolo,75_nvuma,78_togoma,63_nhamunhe,69_simbatsani,60_matewo",,48,"50_dzindrolo,75_nvuma,78_togoma,63_nhamunhe,69_simbatsani,60_matewo",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,sikukuani -yiremdene ,nhamua,0.0,0.0,yes,no
245,246,f0e9e002-d7da-458a-9e54-681d49bb531f,sim,homen,nhamua,,sim,gamboa,,gamboa,sim,,"mulheres_adultos,meninos,meninas",32,"55_gudua,50_dzindrolo,56_mavandzi,78_togoma,7_carapo_tara,9_tsongua,27_korea,10_tsava",,61,"55_gudua,50_dzindrolo,56_mavandzi,78_togoma,7_carapo_tara,9_tsongua,27_korea,10_tsava",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.48220852,-23.81774407,no,yes
246,247,cffb5019-6415-4d21-9dcb-38c22ea9cb68,sim,mulher,nhamua,,sim,rec,,rec,nao,,,0,,,0,,,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.4727375,-23.81037188,yes,no
247,248,edade048-1842-4ca9-b083-34cea1133568,sim,mulher,nhamua,,sim,"rec,tarrafa",,"rec,tarrafa",sim,,homens_adultos,14,"60_matewo,61_mapalo_mavalo,56_mavandzi,66_mahoma_sikuilivita,50_dzindrolo",,39,"60_matewo,61_mapalo_mavalo,56_mavandzi,66_mahoma_sikuilivita,50_dzindrolo",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,0.0,0.0,yes,no
248,249,6274ee66-787b-4a16-abfb-aea2de00890c,sim,mulher,conguiana,,sim,"tarrafa,rec",,"rec,tarrafa",nao,,,0,"56_mavandzi,50_dzindrolo,66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,dzinzanz",,48,"56_mavandzi,50_dzindrolo,66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,dzinzanz",,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.4739201,-23.81038669,yes,no
249,250,8b312509-fce3-48b8-9640-f660de84b7e0,sim,homen,nhamua,,sim,"tarrafa,rec",,"tarrafa,rec",sim,,mulheres_adultos,16,"21_mbabe,10_tsava,3_salani,22_gidzuani,63_nhamunhe,56_mavandzi,50_dzindrolo",,50,"21_mbabe,10_tsava,3_salani,22_gidzuani,63_nhamunhe,56_mavandzi,50_dzindrolo","22_gidzuani,50_dzindrolo,56_mavandzi,21_mbabe,63_nhamunhe,3_salani,10_tsava",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.47810855,-23.80716265,yes,no
250,251,f6a203e3-27a7-4bf8-8dd0-15f454e7ffa6,sim,homen,nhamua,,sim,"rec,linha,gamboa",,"linha,rec,gamboa",sim,,mulheres_adultos,16,"dzinzanz,50_dzindrolo,63_nhamunhe",,64,"7_carapo_tara,3_salani,22_gidzuani,11_sardinha_mboweni,27_korea,1_mihili,10_tsava,50_dzindrolo,63_nhamunhe","50_dzindrolo,7_carapo_tara,3_salani,22_gidzuani,11_sardinha_mboweni,27_korea,1_mihili,10_tsava,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.47810974,-23.80718029,no,yes
251,252,dd98398c-4fb2-4408-8acc-6d4c3c3dafc8,sim,mulher,nhamua,,sim,"rec,outra",rengisa,"rec,outra",nao,,,0,"dzinzanz,60_matewo,61_mapalo_mavalo,63_nhamunhe",,31,"dzinzanz,60_matewo,61_mapalo_mavalo,63_nhamunhe","nan,60_matewo,61_mapalo_mavalo,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.47810946,-23.80717841,yes,no
252,253,bcf6b78b-4d3d-4cfa-8aed-4be0c7537171,sim,mulher,nhamua,,sim,rec,,rec,nao,,,0,"60_matewo,61_mapalo_mavalo,66_mahoma_sikuilivita,63_nhamunhe",,29,"60_matewo,61_mapalo_mavalo,66_mahoma_sikuilivita,63_nhamunhe","66_mahoma_sikuilivita,60_matewo,61_mapalo_mavalo,63_nhamunhe",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,trouca para farinha (secar) ,nhamua,35.4782367,-23.80749312,yes,no
253,254,49b79bbd-3e90-4186-96ff-989280d5f815,sim,mulher,nhamua,,sim,rec,,rec,sim,,homens_adultos,14,60_matewo,,6,60_matewo,,10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,secar para vender. marido faz mergulho,nhamua,35.47926908,-23.80766807,yes,no
254,255,6ae30458-5a61-42ef-aaf4-7d1330c7f0ea,sim,mulher,nhamua,,sim,rec,,rec,nao,,,0,"60_matewo,61_mapalo_mavalo,50_dzindrolo",,23,"60_matewo,61_mapalo_mavalo,50_dzindrolo","50_dzindrolo,60_matewo,61_mapalo_mavalo",10/4/2022 2:04:49 PM,rthoms_wri,10/16/2022 10:52:56 AM,rthoms_wri,,nhamua,35.47945414,-23.80775372,yes,no
