,name,ccp,1,2,3,4,5,6,7,8,9,total_count,score,score_prop,practica
95,marengue,nhamua,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0115606936416186,apanhadores
96,matewo,nhamua,1.0,8.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,22.0,156.0,22.54335260115607,apanhadores
97,mavandzi,nhamua,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,66.0,9.53757225433526,apanhadores
98,nhamunhe,nhamua,0.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,10.0,56.0,8.092485549132949,apanhadores
99,nhatogue,nhamua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.2890173410404624,apanhadores
100,nvuma,nhamua,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0115606936416186,apanhadores
101,simbatsani,nhamua,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0115606936416186,apanhadores
102,togoma,nhamua,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,1.5895953757225432,apanhadores
103,dzindrolo,njuga,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,70.0,25.0,apanhadores
104,giralakhokho,njuga,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,7.142857142857142,apanhadores
105,giredenene,njuga,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0714285714285714,apanhadores
106,guikhokoroma,njuga,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,28.0,10.0,apanhadores
107,mapalo,njuga,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,5.0,apanhadores
108,masaba,njuga,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,6.071428571428571,apanhadores
109,mavandzi,njuga,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,8.928571428571429,apanhadores
110,nhamuele,njuga,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.4285714285714286,apanhadores
111,nhamunhe,njuga,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,10.357142857142858,apanhadores
112,nhasastani,njuga,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,15.0,5.357142857142857,apanhadores
113,nvuma,njuga,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.142857142857143,apanhadores
114,simbatsani,njuga,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,34.0,12.142857142857142,apanhadores
115,togoma,njuga,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,3.9285714285714284,apanhadores
116,tsanga,njuga,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.4285714285714286,apanhadores
117,dzindrolo,sahane,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,33.33333333333333,apanhadores
118,mahoma,sahane,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.6190476190476195,apanhadores
119,matewo,sahane,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,13.333333333333334,apanhadores
120,nhamunhe,sahane,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,15.238095238095239,apanhadores
121,simbatsani,sahane,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,23.809523809523807,apanhadores
122,tsanga,sahane,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.666666666666667,apanhadores
123,masaba,kuguana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,14.0625,apanhadores
124,mavandzi,kuguana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.9375,apanhadores
125,nhakumbe,kuguana,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,12.5,apanhadores
126,nhanguedwa,kuguana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.9375,apanhadores
127,nhatogue,kuguana,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,19.0,29.6875,apanhadores
128,simbatsani,kuguana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.8125,apanhadores
129,togoma,kuguana,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,14.0625,apanhadores
130,dzindrolo,baia,52.0,25.0,13.0,8.0,3.0,2.0,1.0,0.0,0.0,104.0,833.0,20.871961914307192,apanhadores
131,dzisolo,baia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.20045101478326235,apanhadores
132,gihologo,baia,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,34.0,0.8519168128288649,apanhadores
133,gingave,baia,0.0,5.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,15.0,91.0,2.2801302931596092,apanhadores
134,giralakhokho,baia,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,24.0,0.601353044349787,apanhadores
135,giredenene,baia,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.2756201453269857,apanhadores
136,gudua,baia,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,0.22550739163117012,apanhadores
137,guikhokoroma,baia,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,28.0,0.7015785517414181,apanhadores
138,honho,baia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.15033826108744675,apanhadores
139,mahoma,baia,3.0,8.0,7.0,3.0,2.0,0.0,0.0,0.0,2.0,25.0,170.0,4.259584064144325,apanhadores
140,mahutu,baia,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,37.0,0.9270859433725883,apanhadores
141,makolo,baia,1.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,11.0,69.0,1.7288900025056377,apanhadores
142,mapalo,baia,6.0,17.0,18.0,3.0,6.0,0.0,0.0,1.0,0.0,51.0,366.0,9.170633926334252,apanhadores
143,marengue,baia,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,25.0,0.6264094211976947,apanhadores
144,masaba,baia,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,39.0,0.9771986970684038,apanhadores
145,matewo,baia,9.0,19.0,25.0,13.0,2.0,4.0,1.0,1.0,0.0,74.0,517.0,12.95414683036833,apanhadores
146,mavandzi,baia,42.0,15.0,9.0,3.0,5.0,1.0,1.0,0.0,1.0,77.0,612.0,15.33450263091957,apanhadores
147,mavionho,baia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.15033826108744675,apanhadores
148,mihili,baia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.10022550739163118,apanhadores
149,mikaki,baia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.17539463793535454,apanhadores
150,mitifa,baia,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,28.0,0.7015785517414181,apanhadores
151,mwahaha,baia,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.3006765221748935,apanhadores
152,nhakomi,baia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.025056376847907794,apanhadores
153,nhakumbe,baia,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,24.0,0.601353044349787,apanhadores
154,nhakusi,baia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,apanhadores
155,nhamuele,baia,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,42.0,1.0523678276121273,apanhadores
156,nhamunhe,baia,1.0,10.0,3.0,8.0,6.0,4.0,2.0,1.0,0.0,35.0,212.0,5.311951891756452,apanhadores
157,nhandrendre,baia,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.17539463793535454,apanhadores
158,nhanguedwa,baia,13.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,28.0,204.0,5.1115008769731896,apanhadores
159,nhasastani,baia,0.0,0.0,2.0,3.0,4.0,4.0,1.0,0.0,1.0,15.0,72.0,1.804059133049361,apanhadores
160,nhatogue,baia,1.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,12.0,73.0,1.8291155098972687,apanhadores
161,nvuma,baia,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,9.0,47.0,1.1776497118516662,apanhadores
162,simbatsani,baia,2.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,14.0,93.0,2.3302430468554247,apanhadores
163,togoma,baia,3.0,14.0,5.0,6.0,3.0,3.0,1.0,1.0,0.0,36.0,242.0,6.063643197193685,apanhadores
164,tsanga,baia,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,38.0,0.952142320220496,apanhadores
165,49,morrumbene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.42134831460674155,pescadores
166,carapo,morrumbene,2.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,11.0,71.0,4.985955056179775,pescadores
167,dzindrolo,morrumbene,0.0,3.0,2.0,4.0,6.0,0.0,5.0,1.0,1.0,22.0,110.0,7.724719101123595,pescadores
168,dzipata,morrumbene,0.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,13.0,53.0,3.721910112359551,pescadores
169,gidzuani,morrumbene,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.21067415730337077,pescadores
170,gihologo,morrumbene,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,44.0,3.089887640449438,pescadores
171,gitongwe,morrumbene,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,3.2303370786516856,pescadores
172,gudua,morrumbene,1.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,63.0,4.424157303370786,pescadores
173,honho,morrumbene,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,107.0,7.514044943820225,pescadores
174,kolokolo,morrumbene,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.8426966292134831,pescadores
